AssetID,DeviceType,Hostname,Site,Room,Owner,CostCenter,Lifecycle,DataClassification,IPAddress,MACAddress,VLAN,Firmware,PurchaseDate,WarrantyEnd
AST-1001,CoreSwitch,sw-core-01,DE-KOELN-HQ,DC-Rack-1,r.islam,KST-4711,Active,Internal,10.0.10.2,00:1B:44:11:3A:01,10,16.09.04,2024-02-15,2027-06-30
AST-1002,AccessSwitch,sw-acc-01,DE-KOELN-HQ,OG1-IDF,m.keller,KST-4711,Active,Internal,10.0.10.11,00:1B:44:11:3A:02,10,16.09.04,2024-02-15,2027-06-30
AST-1003,AccessSwitch,sw-acc-02,DE-KOELN-HQ,OG2-IDF,m.keller,KST-4711,Active,Internal,10.0.10.12,00:1B:44:11:3A:03,10,16.09.04,2024-02-15,2027-06-30
AST-1004,Router,rtr-edge-01,DE-KOELN-HQ,DC-Rack-1,r.islam,KST-4711,Active,Internal,10.0.10.1,00:1B:44:11:3A:04,10,17.3,2023-11-01,2026-12-31
AST-1005,Firewall,fw-perimeter-01,DE-KOELN-HQ,DC-Rack-1,s.wagner,KST-4711,Active,Confidential,10.0.10.254,00:1B:44:11:3A:05,10,7.2,2023-12-01,2027-01-31
AST-1006,WLANController,wlc-01,DE-KOELN-HQ,DC-Rack-2,m.keller,KST-4711,Active,Internal,10.0.10.20,00:1B:44:11:3A:06,10,8.10,2024-03-01,2027-03-31
AST-1007,AccessPoint,ap-og1-01,DE-KOELN-HQ,OG1-Flur,m.keller,KST-4820,Active,Internal,10.0.40.21,00:1B:44:11:3A:07,40,8.10,2024-03-01,2027-03-31
AST-1008,AccessPoint,ap-og1-02,DE-KOELN-HQ,OG1-Buero,m.keller,KST-4820,Active,Internal,10.0.40.22,00:1B:44:11:3A:08,40,8.10,2024-03-01,2027-03-31
AST-1009,Server,srv-file-01,DE-KOELN-DC,DC-Rack-3,s.wagner,KST-4820,Active,PersonalData,10.0.30.10,00:1B:44:11:3A:09,30,,2024-05-01,2028-05-31
AST-1010,AccessPoint,ap-eg-05,DE-KOELN-HQ,EG-Empfang,,KST-4820,Active,Internal,10.0.40.25,00:1B:44:11:3A:10,40,8.10,2024-03-01,2027-03-31
AST-1011,Laptop,nb-1123,DE-KOELN-HQ,OG1-Buero,k.bauer,KST-4999,Active,Internal,10.0.20.51,00:1B:44:11:3A:11,20,,2024-06-01,
AST-1012,AccessSwitch,sw-acc-03,DE-KOELN-HQ,OG3-IDF,m.keller,KST-4711,Active,Internal,10.0.10.300,00:1B:44:11:3A:12,10,16.09.04,2024-02-15,2027-06-30
AST-1013,Laptop,nb-1147,DE-KOELN-HQ,OG2-Buero,k.bauer,KST-4999,Active,Internal,10.0.20.52,00:1B:44:11:3A:13,25,,2024-06-01,2026-09-30
AST-1014,Printer,prn-2f-01,DE-KOELN-HQ,OG2-Flur,s.wagner,,Active,Internal,10.0.20.80,00:1B:44:11:3A:14,20,,2024-04-01,2027-02-28
AST-1015,AccessPoint,ap-eg-06,DE-KOELN-HQ,EG-Lager,m.keller,KST-4820,Active,Internal,10.0.40.26,00:1B:44:11:3A:15,,8.10,2024-03-01,2027-03-31
