"AssetID","Hostname","DeviceType","Compliant","Issues"
"AST-1001","sw-core-01","CoreSwitch","True",""
"AST-1002","sw-acc-01","AccessSwitch","True",""
"AST-1003","sw-acc-02","AccessSwitch","True",""
"AST-1004","rtr-edge-01","Router","True",""
"AST-1005","fw-perimeter-01","Firewall","True",""
"AST-1006","wlc-01","WLANController","True",""
"AST-1007","ap-og1-01","AccessPoint","True",""
"AST-1008","ap-og1-02","AccessPoint","True",""
"AST-1009","srv-file-01","Server","True",""
"AST-1010","ap-eg-05","AccessPoint","False","missing:Owner"
"AST-1011","nb-1123","Laptop","False","missing:WarrantyEnd"
"AST-1012","sw-acc-03","AccessSwitch","False","invalid:IPAddress=10.0.10.300"
"AST-1013","nb-1147","Laptop","False","invalid:VLAN=25"
"AST-1014","prn-2f-01","Printer","False","missing:CostCenter"
"AST-1015","ap-eg-06","AccessPoint","False","missing:VLAN"
